Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,Sum
PPP1R10,10.0,13.0,2.0,2.0,1.0,5.0,8.0,8.0,5.0,8.0,5.0,13.0,4.0,64.0
PPWD1,5.0,13.0,1.0,2.0,8.0,5.0,7.0,10.0,7.0,3.0,2.0,1.0,10.0,65.0
PSMA5,11.0,1.0,6.0,2.0,0.0,6.0,5.0,8.0,3.0,3.0,9.0,3.0,4.0,50.0
PSMB1,11.0,0.0,1.0,2.0,3.0,0.0,6.0,7.0,4.0,2.0,2.0,3.0,3.0,40.0
PSMB10,4.0,15.0,1.0,7.0,0.0,4.0,7.0,23.0,3.0,11.0,10.0,14.0,1.0,70.0
PSMB8,2.0,3.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,10.0,1.0,15.0,6.0,31.0
PSME4,5.0,9.0,3.0,3.0,0.0,5.0,2.0,8.0,5.0,4.0,7.0,14.0,1.0,47.0
RAB11B,9.0,3.0,2.0,6.0,3.0,6.0,11.0,17.0,16.0,0.0,7.0,8.0,4.0,58.0
RAB3GAP1,6.0,6.0,2.0,2.0,7.0,8.0,0.0,3.0,2.0,6.0,7.0,2.0,1.0,42.0
RAB4A,1.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,0.0,13.0,4.0,6.0,2.0,28.0
RABL3,1.0,1.0,20.0,5.0,1.0,2.0,7.0,12.0,6.0,5.0,6.0,7.0,8.0,68.0
RIF1,3.0,11.0,11.0,10.0,0.0,2.0,2.0,18.0,4.0,2.0,8.0,6.0,7.0,62.0
RPL35,2.0,2.0,4.0,9.0,5.0,17.0,7.0,17.0,4.0,11.0,3.0,9.0,8.0,75.0
RPL39L,24.0,2.0,1.0,9.0,5.0,3.0,7.0,17.0,9.0,3.0,7.0,10.0,3.0,78.0
RPS6KA1,7.0,7.0,1.0,4.0,9.0,3.0,1.0,21.0,3.0,7.0,9.0,9.0,8.0,73.0
RPS6KB2,0.0,3.0,0.0,3.0,1.0,7.0,17.0,0.0,0.0,19.0,7.0,1.0,9.0,44.0
SEH1L,5.0,0.0,13.0,6.0,1.0,8.0,10.0,12.0,11.0,22.0,0.0,12.0,4.0,73.0
SNRNP48,1.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,18.0,4.0,5.0,1.0,33.0
SPIDR,12.0,8.0,7.0,3.0,10.0,9.0,9.0,23.0,3.0,4.0,5.0,9.0,3.0,69.0
SRD5A1,3.0,13.0,6.0,8.0,4.0,7.0,2.0,6.0,4.0,12.0,7.0,7.0,3.0,56.0
SREBF1,8.0,2.0,15.0,9.0,1.0,7.0,7.0,17.0,34.0,2.0,9.0,9.0,3.0,87.0
SSR1,4.0,16.0,7.0,2.0,2.0,2.0,8.0,4.0,35.0,13.0,8.0,16.0,2.0,83.0
STX10,10.0,5.0,5.0,9.0,1.0,0.0,4.0,14.0,7.0,2.0,0.0,8.0,2.0,56.0
STX5,2.0,9.0,16.0,24.0,3.0,3.0,10.0,8.0,5.0,10.0,5.0,4.0,4.0,77.0
TECPR1,5.0,6.0,5.0,3.0,0.0,4.0,6.0,2.0,17.0,10.0,10.0,5.0,1.0,53.0
TMEM106B,2.0,9.0,14.0,3.0,0.0,2.0,3.0,2.0,59.0,0.0,4.0,6.0,1.0,72.0
TSR1,8.0,4.0,9.0,6.0,1.0,10.0,14.0,17.0,19.0,11.0,8.0,5.0,11.0,92.0
UBC,6.0,3.0,12.0,7.0,8.0,17.0,8.0,4.0,6.0,20.0,5.0,12.0,6.0,86.0
UBE2T,7.0,1.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,14.0,19.0,4.0,2.0,54.0
UBQLN2,1.0,11.0,7.0,2.0,0.0,6.0,5.0,23.0,14.0,19.0,7.0,4.0,2.0,72.0
UCP2,5.0,4.0,3.0,2.0,6.0,6.0,21.0,6.0,10.0,6.0,12.0,7.0,14.0,77.0
USP1,4.0,8.0,17.0,7.0,2.0,0.0,8.0,15.0,4.0,5.0,24.0,15.0,3.0,70.0
ZNF131,20.0,5.0,15.0,5.0,3.0,3.0,13.0,29.0,7.0,9.0,9.0,8.0,12.0,90.0
ZNHIT6,2.0,12.0,6.0,7.0,3.0,8.0,14.0,8.0,8.0,8.0,9.0,11.0,3.0,88.0
