Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
MFSD3,11.0,1.0,5.0,8.0,4.0,4.0,11.0,8.0,3.0,3.0,10.0,17.0,5.0,6.0,11.0,78.0
MRNIP,10.0,5.0,7.0,2.0,5.0,3.0,20.0,3.0,5.0,3.0,9.0,11.0,4.0,4.0,4.0,65.0
MRPL1,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,22.0,1.0,0.0,3.0,2.0,0.0,1.0,25.0
MRPL27,1.0,9.0,12.0,6.0,3.0,1.0,4.0,5.0,27.0,2.0,7.0,1.0,9.0,4.0,5.0,64.0
MRPL33,5.0,3.0,9.0,1.0,5.0,4.0,3.0,6.0,18.0,4.0,9.0,3.0,7.0,8.0,7.0,66.0
MRPL37,4.0,0.0,1.0,3.0,1.0,2.0,8.0,7.0,13.0,2.0,2.0,1.0,5.0,9.0,8.0,51.0
MRPL49,5.0,0.0,2.0,8.0,4.0,0.0,11.0,27.0,21.0,9.0,1.0,7.0,5.0,9.0,10.0,76.0
MRPS15,3.0,4.0,1.0,11.0,1.0,3.0,5.0,8.0,22.0,9.0,6.0,6.0,8.0,6.0,5.0,74.0
MRPS26,13.0,6.0,12.0,9.0,2.0,4.0,5.0,7.0,12.0,11.0,12.0,5.0,5.0,5.0,5.0,71.0
MRPS9,7.0,2.0,10.0,10.0,4.0,8.0,12.0,9.0,36.0,4.0,7.0,4.0,2.0,9.0,10.0,85.0
NAMPT,7.0,13.0,8.0,2.0,1.0,5.0,3.0,6.0,8.0,10.0,2.0,9.0,3.0,4.0,7.0,56.0
NBR1,8.0,10.0,3.0,5.0,10.0,6.0,9.0,6.0,15.0,8.0,13.0,3.0,3.0,8.0,6.0,91.0
NCSTN,1.0,1.0,5.0,11.0,6.0,10.0,13.0,7.0,10.0,13.0,16.0,10.0,6.0,6.0,8.0,75.0
NDUFA4,7.0,4.0,6.0,2.0,4.0,6.0,4.0,7.0,44.0,2.0,7.0,8.0,3.0,6.0,6.0,75.0
NDUFA7,9.0,7.0,2.0,4.0,4.0,3.0,4.0,3.0,12.0,4.0,1.0,2.0,2.0,1.0,2.0,38.0
NDUFAF7,1.0,3.0,4.0,3.0,0.0,0.0,4.0,2.0,31.0,2.0,1.0,4.0,3.0,2.0,2.0,37.0
NDUFB7,3.0,2.0,7.0,3.0,1.0,1.0,0.0,1.0,23.0,7.0,2.0,4.0,1.0,2.0,2.0,54.0
NDUFS2,4.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,33.0,2.0,3.0,2.0,13.0,1.0,3.0,58.0
NDUFS3,0.0,3.0,4.0,2.0,1.0,3.0,3.0,30.0,7.0,3.0,3.0,4.0,4.0,4.0,3.0,44.0
