Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ATP6V0D1,25.0,25.0,86.0,42.0,18.0,57.0,41.0,40.0,87.0,48.0,67.0,61.0,64.0,24.0,34.0,531.0
ATP6V1H,88.0,76.0,149.0,129.0,80.0,120.0,100.0,84.0,139.0,108.0,125.0,132.0,147.0,66.0,103.0,1273.0
BRAP,29.0,30.0,26.0,9.0,13.0,21.0,25.0,31.0,25.0,28.0,22.0,12.0,48.0,22.0,17.0,244.0
CANX,9.0,9.0,6.0,7.0,5.0,10.0,88.0,4.0,6.0,4.0,9.0,7.0,3.0,7.0,7.0,111.0
CASC3,57.0,36.0,33.0,26.0,10.0,31.0,18.0,14.0,35.0,32.0,39.0,59.0,30.0,29.0,32.0,357.0
CDC73,12.0,8.0,11.0,14.0,4.0,10.0,8.0,11.0,23.0,36.0,32.0,11.0,8.0,4.0,7.0,152.0
CDCA2,24.0,11.0,15.0,9.0,19.0,38.0,28.0,13.0,19.0,9.0,30.0,29.0,27.0,24.0,30.0,238.0
CDK13,74.0,41.0,60.0,74.0,48.0,76.0,62.0,44.0,114.0,65.0,53.0,76.0,67.0,56.0,58.0,804.0
CENPK,8.0,15.0,10.0,16.0,6.0,5.0,16.0,11.0,18.0,10.0,11.0,16.0,18.0,12.0,22.0,157.0
CHMP6,84.0,48.0,54.0,86.0,43.0,59.0,49.0,46.0,85.0,43.0,85.0,91.0,75.0,46.0,66.0,759.0
CHP1,29.0,34.0,41.0,27.0,24.0,44.0,47.0,38.0,37.0,42.0,42.0,38.0,21.0,20.0,23.0,336.0
CIAO1,92.0,99.0,66.0,96.0,57.0,66.0,72.0,59.0,120.0,63.0,130.0,93.0,63.0,69.0,78.0,922.0
CIT,36.0,17.0,13.0,27.0,4.0,15.0,21.0,14.0,27.0,20.0,33.0,32.0,33.0,10.0,12.0,275.0
COG3,13.0,21.0,120.0,54.0,6.0,22.0,10.0,18.0,29.0,56.0,29.0,16.0,23.0,8.0,14.0,300.0
COG4,37.0,98.0,144.0,145.0,42.0,59.0,65.0,48.0,86.0,93.0,64.0,79.0,89.0,34.0,44.0,846.0
COPA,11.0,10.0,18.0,23.0,9.0,4.0,6.0,16.0,13.0,9.0,35.0,26.0,40.0,12.0,16.0,192.0
COX14,8.0,13.0,15.0,10.0,6.0,8.0,11.0,15.0,58.0,11.0,16.0,10.0,30.0,5.0,3.0,159.0
COX17,51.0,31.0,13.0,22.0,21.0,23.0,25.0,22.0,41.0,13.0,40.0,42.0,20.0,15.0,17.0,300.0
COX4I1,24.0,35.0,28.0,28.0,27.0,37.0,30.0,29.0,238.0,19.0,44.0,40.0,120.0,20.0,110.0,576.0
COX7B,7.0,10.0,11.0,12.0,11.0,12.0,9.0,9.0,114.0,9.0,25.0,13.0,11.0,15.0,19.0,187.0
COX7C,22.0,10.0,10.0,22.0,9.0,18.0,17.0,14.0,81.0,14.0,39.0,36.0,24.0,13.0,22.0,260.0
COX8A,6.0,8.0,9.0,11.0,6.0,8.0,17.0,27.0,76.0,8.0,5.0,19.0,17.0,12.0,6.0,153.0
CPSF1,35.0,41.0,27.0,24.0,31.0,49.0,26.0,49.0,34.0,11.0,99.0,29.0,75.0,29.0,34.0,449.0
CPSF3,51.0,35.0,47.0,35.0,22.0,51.0,49.0,71.0,43.0,42.0,100.0,37.0,63.0,34.0,30.0,535.0
CPSF6,36.0,28.0,52.0,19.0,7.0,11.0,13.0,37.0,45.0,54.0,9.0,33.0,70.0,22.0,12.0,326.0
CRKL,167.0,132.0,118.0,138.0,99.0,115.0,138.0,133.0,160.0,90.0,125.0,178.0,144.0,111.0,135.0,1622.0
CSE1L,21.0,52.0,33.0,18.0,6.0,14.0,14.0,44.0,28.0,18.0,36.0,50.0,104.0,8.0,18.0,343.0
CYCS,21.0,10.0,33.0,25.0,29.0,49.0,18.0,14.0,34.0,13.0,53.0,53.0,24.0,19.0,22.0,294.0
DCAF15,14.0,27.0,15.0,10.0,2.0,5.0,9.0,15.0,13.0,23.0,21.0,10.0,43.0,3.0,2.0,147.0
DCTN5,30.0,44.0,78.0,35.0,37.0,63.0,61.0,33.0,55.0,65.0,44.0,55.0,43.0,23.0,26.0,486.0
DDX6,137.0,48.0,100.0,97.0,63.0,93.0,103.0,73.0,105.0,87.0,93.0,87.0,107.0,70.0,81.0,1063.0
DHX35,85.0,56.0,67.0,71.0,45.0,75.0,107.0,71.0,92.0,90.0,114.0,88.0,78.0,55.0,70.0,853.0
DNA2,11.0,1.0,16.0,19.0,4.0,3.0,3.0,1.0,13.0,8.0,16.0,22.0,21.0,5.0,5.0,108.0
DNAJC24,20.0,23.0,14.0,17.0,16.0,34.0,22.0,31.0,111.0,4.0,51.0,23.0,30.0,15.0,25.0,290.0
DNM1L,62.0,85.0,84.0,69.0,57.0,79.0,88.0,71.0,176.0,61.0,111.0,106.0,80.0,71.0,74.0,984.0
DPH2,12.0,15.0,19.0,14.0,10.0,10.0,13.0,14.0,93.0,8.0,24.0,17.0,35.0,8.0,15.0,214.0
DRG2,26.0,8.0,44.0,27.0,11.0,17.0,33.0,15.0,18.0,64.0,9.0,17.0,20.0,27.0,13.0,261.0
DVL1,13.0,7.0,12.0,4.0,6.0,11.0,11.0,9.0,14.0,13.0,16.0,20.0,13.0,7.0,10.0,127.0
DVL3,3.0,3.0,10.0,4.0,13.0,14.0,1.0,8.0,18.0,3.0,25.0,7.0,10.0,7.0,15.0,107.0
DYNLL1,135.0,124.0,94.0,122.0,83.0,102.0,77.0,105.0,142.0,70.0,94.0,128.0,115.0,95.0,105.0,1349.0
EEF1G,148.0,137.0,98.0,147.0,107.0,132.0,130.0,108.0,173.0,86.0,138.0,170.0,127.0,80.0,101.0,1517.0
EEF2,36.0,52.0,32.0,46.0,47.0,64.0,46.0,59.0,45.0,15.0,90.0,47.0,24.0,28.0,48.0,472.0
EIF2AK4,33.0,25.0,50.0,55.0,22.0,41.0,49.0,78.0,82.0,63.0,84.0,61.0,106.0,32.0,45.0,575.0
EIF2B1,52.0,51.0,45.0,65.0,32.0,54.0,37.0,31.0,84.0,36.0,41.0,73.0,36.0,22.0,32.0,558.0
EIF2B2,63.0,63.0,71.0,86.0,51.0,92.0,70.0,65.0,133.0,47.0,60.0,96.0,71.0,42.0,53.0,814.0
EIF2B3,14.0,26.0,14.0,19.0,9.0,16.0,19.0,13.0,45.0,13.0,50.0,13.0,13.0,12.0,19.0,200.0
EIF2B4,10.0,22.0,25.0,15.0,12.0,25.0,11.0,14.0,28.0,18.0,27.0,12.0,21.0,15.0,18.0,194.0
EIF2B5,53.0,35.0,35.0,36.0,27.0,40.0,62.0,42.0,61.0,30.0,48.0,53.0,43.0,25.0,40.0,489.0
EIF2S3,55.0,39.0,32.0,44.0,27.0,62.0,39.0,35.0,65.0,27.0,44.0,56.0,45.0,30.0,28.0,486.0
EIF3C,5.0,31.0,7.0,8.0,9.0,13.0,16.0,12.0,35.0,39.0,8.0,9.0,16.0,5.0,9.0,159.0
EIF3H,77.0,23.0,37.0,92.0,54.0,82.0,52.0,76.0,111.0,37.0,70.0,71.0,99.0,71.0,93.0,802.0
EIF3L,40.0,96.0,86.0,43.0,13.0,45.0,37.0,48.0,47.0,45.0,40.0,56.0,64.0,16.0,30.0,540.0
EIF4A1,123.0,124.0,78.0,88.0,45.0,92.0,68.0,80.0,89.0,114.0,72.0,97.0,98.0,89.0,64.0,995.0
EIF4A2,17.0,5.0,4.0,5.0,7.0,4.0,8.0,11.0,12.0,8.0,3.0,19.0,12.0,11.0,10.0,113.0
EIF4B,62.0,32.0,32.0,39.0,28.0,43.0,32.0,44.0,34.0,25.0,49.0,33.0,31.0,22.0,29.0,425.0
EIF4E,105.0,44.0,57.0,60.0,42.0,60.0,55.0,71.0,72.0,43.0,61.0,97.0,61.0,33.0,44.0,752.0
EIF4EBP1,85.0,43.0,37.0,79.0,49.0,65.0,88.0,54.0,91.0,36.0,65.0,97.0,61.0,47.0,81.0,748.0
EIF5,40.0,54.0,38.0,56.0,12.0,23.0,36.0,25.0,55.0,36.0,33.0,41.0,44.0,29.0,23.0,459.0
ENO1,56.0,96.0,85.0,92.0,38.0,80.0,71.0,71.0,97.0,54.0,169.0,79.0,93.0,60.0,56.0,919.0
EPC1,16.0,8.0,34.0,13.0,5.0,5.0,7.0,13.0,21.0,16.0,7.0,11.0,42.0,6.0,6.0,158.0
