Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
OSTC,12.0,7.0,26.0,11.0,3.0,5.0,23.0,14.0,9.0,91.0,24.0,17.0,18.0,6.0,7.0,187.0
PAFAH1B1,12.0,12.0,75.0,20.0,11.0,6.0,33.0,17.0,16.0,90.0,12.0,17.0,12.0,11.0,12.0,256.0
PAK2,119.0,114.0,59.0,107.0,66.0,71.0,87.0,73.0,115.0,63.0,73.0,105.0,86.0,62.0,68.0,1070.0
PDCD6IP,60.0,58.0,30.0,52.0,33.0,34.0,47.0,34.0,51.0,37.0,57.0,66.0,44.0,30.0,47.0,563.0
PEF1,10.0,1.0,16.0,8.0,4.0,1.0,5.0,3.0,13.0,11.0,6.0,15.0,14.0,12.0,4.0,102.0
PER1,40.0,13.0,24.0,22.0,11.0,11.0,18.0,8.0,30.0,47.0,15.0,17.0,19.0,19.0,25.0,247.0
PHB2,42.0,27.0,34.0,26.0,22.0,32.0,43.0,19.0,42.0,28.0,48.0,34.0,22.0,18.0,28.0,351.0
PLRG1,29.0,7.0,14.0,12.0,0.0,7.0,18.0,9.0,20.0,20.0,19.0,19.0,13.0,11.0,8.0,167.0
PML,51.0,15.0,27.0,29.0,27.0,27.0,34.0,21.0,59.0,25.0,50.0,38.0,30.0,28.0,52.0,374.0
POGZ,50.0,39.0,36.0,33.0,31.0,43.0,31.0,38.0,51.0,25.0,44.0,39.0,36.0,64.0,58.0,439.0
POLD2,146.0,81.0,93.0,130.0,73.0,90.0,93.0,68.0,115.0,81.0,117.0,140.0,110.0,83.0,108.0,1268.0
PPP1CA,19.0,26.0,27.0,29.0,9.0,29.0,28.0,26.0,26.0,33.0,81.0,41.0,32.0,19.0,23.0,321.0
PPP2R2A,81.0,48.0,100.0,94.0,24.0,45.0,59.0,52.0,84.0,97.0,116.0,65.0,54.0,21.0,51.0,713.0
PPP2R3C,24.0,37.0,42.0,32.0,7.0,15.0,25.0,31.0,53.0,12.0,22.0,36.0,26.0,13.0,21.0,298.0
PRIM2,119.0,54.0,66.0,96.0,56.0,58.0,66.0,50.0,80.0,48.0,95.0,96.0,68.0,48.0,69.0,914.0
PRMT5,64.0,16.0,47.0,37.0,26.0,29.0,63.0,33.0,28.0,40.0,35.0,51.0,49.0,29.0,45.0,476.0
PSMA3,11.0,8.0,9.0,5.0,7.0,15.0,12.0,21.0,23.0,3.0,14.0,16.0,13.0,13.0,8.0,127.0
PSMB5,16.0,3.0,3.0,6.0,7.0,8.0,9.0,12.0,18.0,7.0,12.0,19.0,17.0,11.0,17.0,115.0
PSMC6,12.0,6.0,5.0,5.0,6.0,5.0,5.0,7.0,15.0,4.0,16.0,9.0,9.0,11.0,17.0,100.0
PSMD10,30.0,49.0,25.0,22.0,10.0,24.0,14.0,75.0,64.0,59.0,15.0,25.0,15.0,12.0,14.0,312.0
PSMD13,69.0,27.0,33.0,43.0,35.0,43.0,53.0,57.0,74.0,26.0,37.0,50.0,37.0,38.0,52.0,503.0
PSMD5,17.0,17.0,17.0,6.0,8.0,14.0,7.0,63.0,19.0,31.0,6.0,13.0,9.0,4.0,9.0,161.0
PSMD9,26.0,19.0,3.0,5.0,1.0,5.0,5.0,11.0,10.0,6.0,5.0,22.0,7.0,7.0,5.0,100.0
PSMF1,15.0,16.0,35.0,17.0,13.0,16.0,18.0,15.0,28.0,36.0,42.0,9.0,17.0,8.0,17.0,221.0
RAB10,25.0,85.0,61.0,38.0,33.0,42.0,34.0,35.0,52.0,54.0,47.0,31.0,25.0,48.0,36.0,507.0
RAB11FIP3,9.0,22.0,8.0,9.0,3.0,8.0,6.0,9.0,22.0,12.0,31.0,19.0,17.0,3.0,8.0,141.0
RAC1,169.0,113.0,108.0,121.0,78.0,93.0,121.0,109.0,134.0,74.0,126.0,196.0,121.0,88.0,119.0,1430.0
RBM17,7.0,3.0,14.0,13.0,2.0,4.0,4.0,5.0,5.0,53.0,11.0,8.0,3.0,4.0,7.0,102.0
RBP1,23.0,7.0,13.0,11.0,3.0,7.0,14.0,6.0,24.0,6.0,11.0,5.0,12.0,18.0,7.0,127.0
RBPMS,28.0,19.0,16.0,24.0,12.0,26.0,39.0,9.0,38.0,17.0,33.0,24.0,20.0,28.0,35.0,284.0
RCC1,7.0,5.0,18.0,4.0,4.0,6.0,12.0,7.0,20.0,2.0,16.0,12.0,7.0,10.0,20.0,112.0
REEP5,27.0,6.0,7.0,12.0,9.0,10.0,29.0,12.0,24.0,5.0,17.0,15.0,13.0,42.0,17.0,166.0
